stable_id,resource,form,component,property,english,current_jpn,group,visibility,static_evidence,string_comparison_evidence,save_load_evidence,dispatch_method,safety_classification,reason
TDLGFILTER/cbStatusFilter/Text,TDLGFILTER,dlgfilter,cbStatusFilter,Text,All,(英語のまま),FILTER,high,oldCODE raw=124 ANSISTRING=5 short=0 newEXE=0 Data=5files 旧新DFM一致=False,独立リテラル5件（文脈: [ansistring] ...try...........Ignore..........||.........NoToAll.........YesToAl）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING5件（艦種/汎用パーサクラスタ 'CVL'/'Any'/'Warning! Illegal ship type:' 等で比較利用の実在を確認済み）（Textは同コンボItemsと一括判定） / cbStatusFilterはStyle未指定（既定=編集可能）かつ旧新DFM不一致のため旧CODE証拠の転用も不完全
TDLGFILTER/cbStatusFilter/Items.Strings[0],TDLGFILTER,dlgfilter,cbStatusFilter,Items.Strings[0],All,(英語のまま),FILTER,high,oldCODE raw=124 ANSISTRING=5 short=0 newEXE=0 Data=5files 旧新DFM一致=False,独立リテラル5件（文脈: [ansistring] ...try...........Ignore..........||.........NoToAll.........YesToAl）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING5件（艦種/汎用パーサクラスタ 'CVL'/'Any'/'Warning! Illegal ship type:' 等で比較利用の実在を確認済み） / cbStatusFilterはStyle未指定（既定=編集可能）かつ旧新DFM不一致のため旧CODE証拠の転用も不完全
TDLGFILTER/cbStatusFilter/Items.Strings[1],TDLGFILTER,dlgfilter,cbStatusFilter,Items.Strings[1],Active,(英語のまま),FILTER,high,oldCODE raw=30 ANSISTRING=5 short=2 newEXE=4 Data=5files 旧新DFM一致=False,独立リテラル7件（文脈: [short] ...TabIndex.Integer..Rect.TRect..||.Boolean..x.F...TTabGetImageEvent....）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING5件 — 'Fate'/'Training'/'Deployed' と並ぶ艦ステータス文字列クラスタ / cbStatusFilterはStyle未指定（既定=編集可能）かつ旧新DFM不一致のため旧CODE証拠の転用も不完全
TDLGFILTER/cbStatusFilter/Items.Strings[2],TDLGFILTER,dlgfilter,cbStatusFilter,Items.Strings[2],Reserve,(英語のまま),FILTER,high,oldCODE raw=17 ANSISTRING=1 short=0 newEXE=0 Data=0files 旧新DFM一致=False,独立リテラル1件（文脈: [ansistring] ......... *........../...........||......... (..........)...SV.....）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING1件 + ステータス表示テーブル 'Reserve fleet' と同族 / cbStatusFilterはStyle未指定（既定=編集可能）かつ旧新DFM不一致のため旧CODE証拠の転用も不完全
TDLGFILTER/cbStatusFilter/Items.Strings[3],TDLGFILTER,dlgfilter,cbStatusFilter,Items.Strings[3],Mothballed,(英語のまま),FILTER,high,oldCODE raw=4 ANSISTRING=1 short=0 newEXE=0 Data=0files 旧新DFM一致=False,独立リテラル1件（文脈: [ansistring] .........Reserve fleet...........||..........Trade protection......）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING1件 — 'Reserve fleet'/'Trade protection'/'On foreign station' と連続する艦ステータステーブルの一員 / cbStatusFilterはStyle未指定（既定=編集可能）かつ旧新DFM不一致のため旧CODE証拠の転用も不完全
TDLGFILTER/cbStatusFilter/Items.Strings[4],TDLGFILTER,dlgfilter,cbStatusFilter,Items.Strings[4],Trade protection,(英語のまま),FILTER,high,oldCODE raw=3 ANSISTRING=1 short=0 newEXE=0 Data=1files 旧新DFM一致=False,独立リテラル1件（文脈: [ansistring] .............Mothballed..........||............On foreign station..）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=(default) ItemIndex=0 events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING1件 — 同上ステータステーブルの一員 / cbStatusFilterはStyle未指定（既定=編集可能）かつ旧新DFM不一致のため旧CODE証拠の転用も不完全
TDLGFILTER/cbStatusFilter/Items.Strings[5],TDLGFILTER,dlgfilter,cbStatusFilter,Items.Strings[5],Foreign station,(英語のまま),FILTER,high,oldCODE raw=1 ANSISTRING=0 short=0 newEXE=0 Data=0files 旧新DFM一致=False,独立リテラル0件,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=(default) ItemIndex=0 events=なし,UNRESOLVED,独立リテラル0だが、同一コンボの他5値がステータステーブルと衝突しグループ一括保留 / cbStatusFilterはStyle未指定（既定=編集可能）かつ旧新DFM不一致のため旧CODE証拠の転用も不完全
TDLGCAMPDIVROLE/cbRole/Items.Strings[0],TDLGCAMPDIVROLE,dlgcampdivrole,cbRole,Items.Strings[0],Screen,(英語のまま),CAMPDIVROLE,medium,oldCODE raw=15 ANSISTRING=5 short=0 newEXE=2 Data=0files 旧新DFM一致=True,独立リテラル5件（文脈: [ansistring] ...ndent.........Scout...........||..........Support.........Core..）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=csDropDownList ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,独立ANSISTRING5件 — 'Independent'/'Scout'/'Support'/'Core'/'Patrol'/'Fleet Flag' の戦隊役割名テーブル。DR調査で確認済みの役割シリアライズキー群（'Role'/'LeadDiv'）と整合し、役割は文字列として保存・比較される蓋然性が高い
TDLGCAMPDIVROLE/cbRole/Items.Strings[1],TDLGCAMPDIVROLE,dlgcampdivrole,cbRole,Items.Strings[1],Support,(英語のまま),CAMPDIVROLE,medium,oldCODE raw=22 ANSISTRING=4 short=0 newEXE=0 Data=3files 旧新DFM一致=True,独立リテラル4件（文脈: [ansistring] ...l.........Support ............||.........Invasion ...........Inv）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=csDropDownList ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,同上（独立ANSISTRING4件）
TDLGCAMPDIVROLE/cbRole/Items.Strings[2],TDLGCAMPDIVROLE,dlgcampdivrole,cbRole,Items.Strings[2],Core,(英語のまま),CAMPDIVROLE,medium,oldCODE raw=7 ANSISTRING=3 short=0 newEXE=0 Data=2files 旧新DFM一致=True,独立リテラル3件（文脈: [ansistring] ...reen..........Support.........||............Fleet Flag..........）,Preferencesに出現なし。キャンペーンセーブ(.bcs)実物なしで保存形式未検証,TComboBox Style=csDropDownList ItemIndex=None events=なし,UNSAFE_STRING_SEMANTICS,同上（独立ANSISTRING3件）
