Stable ID,Resource,Form,Usage,Component,Class,Property,Parent,English,Current JPN value,Classification,Reason
TDLGPICTUREMESSAGE/bnNo/Caption,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,bnNo,TButton,Caption,dlgPictureMessage,No,No,translate_candidate,通常プレイ高頻度（campaign_core）の固定UI未翻訳
TDLGPICTUREMESSAGE/bnOK/Caption,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,bnOK,TButton,Caption,dlgPictureMessage,OK,OK,no_op,略号・記号・数値
TDLGPICTUREMESSAGE/bnYes/Caption,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,bnYes,TButton,Caption,dlgPictureMessage,Yes,Yes,translate_candidate,通常プレイ高頻度（campaign_core）の固定UI未翻訳
TDLGPICTUREMESSAGE/dlgPictureMessage/Font.Name,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,dlgPictureMessage,TdlgPictureMessage,Font.Name,(form root),MS Sans Serif,MS Sans Serif,do_not_translate,非表示系プロパティ
TDLGPICTUREMESSAGE/lbMessage/Caption,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,lbMessage,TLabel,Caption,dlgPictureMessage,This is a rather long text that will hopefully wrap around so that we can check the word wrap function and see how it looks with rather a lare number ow words in this dialog.,This is a rather long text that will hopefully wrap around so that we can check the word wrap function and see how it looks with rather a lare number ow words in this dialog.,runtime_placeholder,設計時ダミー長文（イベント/研究本文へ実行時差し替え）
TDLGPICTUREMESSAGE/lbMessage/Font.Name,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,lbMessage,TLabel,Font.Name,dlgPictureMessage,MS Sans Serif,MS Sans Serif,do_not_translate,非表示系プロパティ
TDLGPICTUREMESSAGE/lbResearchCaption/Caption,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,lbResearchCaption,TLabel,Caption,dlgPictureMessage,This is the research caption,This is the research caption,runtime_placeholder,設計時ダミー長文（イベント/研究本文へ実行時差し替え）
TDLGPICTUREMESSAGE/lbResearchCaption/Font.Name,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,lbResearchCaption,TLabel,Font.Name,dlgPictureMessage,MS Sans Serif,MS Sans Serif,do_not_translate,非表示系プロパティ
TDLGPICTUREMESSAGE/lbResearchEffect/Caption,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,lbResearchEffect,TLabel,Caption,dlgPictureMessage,This is a rather long text that will hopefully wrap around so that we can check the word wrap function and see how it looks with rather a lare number ow words in this dialog.,This is a rather long text that will hopefully wrap around so that we can check the word wrap function and see how it looks with rather a lare number ow words in this dialog.,runtime_placeholder,設計時ダミー長文（イベント/研究本文へ実行時差し替え）
TDLGPICTUREMESSAGE/lbResearchEffect/Font.Name,TDLGPICTUREMESSAGE,dlgPictureMessage,イベント/研究の画像メッセージ（Yes/No・キャンペーン高頻度）,lbResearchEffect,TLabel,Font.Name,dlgPictureMessage,MS Sans Serif,MS Sans Serif,do_not_translate,非表示系プロパティ
